Id,Title,Short_Title,Year,citescore
1,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,1/1/18,37.26
2,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,1/1/17,18.18
3,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,1/1/16,12.72
4,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,1/1/15,6.19
5,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,1/1/14,5.05
6,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,1/1/13,5.25
7,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,1/1/12,3.23
8,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,1/1/11,2.09
9,Journal of Statistical Software,JSS,1/1/18,25.02
10,Journal of Statistical Software,JSS,1/1/17,16.32
11,Journal of Statistical Software,JSS,1/1/16,7.71
12,Journal of Statistical Software,JSS,1/1/15,5.02
13,Journal of Statistical Software,JSS,1/1/14,6.37
14,Journal of Statistical Software,JSS,1/1/13,7.12
15,Journal of Statistical Software,JSS,1/1/12,4.93
16,Journal of Statistical Software,JSS,1/1/11,4.59
17,IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,1/1/18,19.67
18,IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,1/1/17,12.75
19,IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,1/1/16,13.29
20,IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,1/1/15,12.66
21,IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,1/1/14,11.05
22,IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,1/1/13,11.8
23,IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,1/1/12,10.09
24,IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,1/1/11,8.89
25,Foundations and Trends in Machine Learning,FTML,1/1/18,19
26,Foundations and Trends in Machine Learning,FTML,1/1/17,10.9
27,Foundations and Trends in Machine Learning,FTML,1/1/16,10
28,Foundations and Trends in Machine Learning,FTML,1/1/15,17.3
29,Foundations and Trends in Machine Learning,FTML,1/1/14,16
30,Foundations and Trends in Machine Learning,FTML,1/1/13,31.8
31,Foundations and Trends in Machine Learning,FTML,1/1/12,15.82
32,Foundations and Trends in Machine Learning,FTML,1/1/11,8.5
33,Proceedings of the IEEE International Conference on Computer Vision,ICCV,1/1/18,16.64
34,Proceedings of the IEEE International Conference on Computer Vision,ICCV,1/1/17,11.67
35,Proceedings of the IEEE International Conference on Computer Vision,ICCV,1/1/16,9.92
36,Proceedings of the IEEE International Conference on Computer Vision,ICCV,1/1/15,3.9
37,Proceedings of the IEEE International Conference on Computer Vision,ICCV,1/1/14,2.49
38,Proceedings of the IEEE International Conference on Computer Vision,ICCV,1/1/13,3.16
39,Proceedings of the IEEE International Conference on Computer Vision,ICCV,1/1/12,1.64
40,Proceedings of the IEEE International Conference on Computer Vision,ICCV,1/1/11,2.54
